검색그룹,상태,발견단어,코드,,대체어,
사랑/-애,없음,,,,,
떠나다/송별/이별/작별/헤어지다/멀리하다,없음,,,,,
울다,없음,,,,,
기쁨/기쁘다,없음,,,,즐겁다 ,WORD1140
배신(당하다),없음,,,,,
배신(하다),없음,,,,,
용서,없음,,,,,
미안,없음,,,,,
가슴/흉부,없음,,,,마음,WORD1105
눈길/시선/바라보다/응시하다/쳐다보다,없음,,,,보다,SEN0280(표지판 보다 찾다)
수/운/운명/운수/점/천명,없음,,,,,
연인/애인/연애,없음,,,,,
간절,없음,,,,원하다,WORD1130
용감하다/용기/배짱,없음,,,,,
자신감,없음,,,,,
공감,없음,,,,이해,WORD1207
궁금하다,없음,,,,,
아깝다,없음,,,,,
불평,없음,,,,,
심심하다,없음,,,,,
원망,없음,,,,,
허무,없음,,,,,
가시/날카롭다/뾰족하다/예리하다/예민하다,있음,예민,WORD1136,,,
그리워하다/동경/사모/그리다/그립다,있음,그립다,WORD1506,,,
슬프다/슬픔/슬퍼하다/설움,있음,슬프다,WORD0009,,,
외롭다/고독/쓸쓸하다,있음,쓸쓸하다,WORD0847,,,
두근거리다/불안/설레다/울렁거리다/조마조마하다/두근두근,있음,두근거리다,WORD1254,,,
미움/미워하다/밉다/얄밉다,있음,밉다,WORD1124,,,
다정/우정/우애/우의/친목/가까이하다/가깝다/단란하다/의좋다/정답다/친하다/친교,있음,가깝다,WORD0948,,,
죄송하다/사과/미안하다,있음,사과,WORD0099,,,
감사합니다/감사/고맙다,있음,감사,WORD1290,,,
웃다/웃음,있음,웃다,WORD1224,,,
믿다/믿음/신뢰/신용,있음,믿다,WORD1139,,,
서운하다/섭섭하다/안타깝다/애석/애타다,있음,섭섭하다,WORD1151,,,
번민/걱정/근심/상심/시름/염려/우수/괴롭다,있음,걱정,WORD1294,,,
안심/안전/안정,있음,안심,WORD0974,,,
후회,있음,후회,WORD1252,,,
낙담/낙망/낙심/실망/절망/좌절,있음,실망,WORD1195,,,
체념/기권/포기/그만둠,있음,포기,WORD2338,,,
부끄럽다/부끄러움/수줍다/수치/창피,있음,창피,WORD1215,,,
당황,있음,당황,WORD1128,,,
무섭다/겁/겁나다/두려워하다/두렵다,있음,무섭다,WORD1134,,,
귀찮다/불편/성가시다,있음,귀찮다,WORD1346,,,
어처구니없다/기막히다/어이없다/억울하다,있음,기막히다,WORD1122,,,
근면/열성/열심/꾸준하다/부지런하다/정진,있음,열심,WORD1183,,,
귀하다/존귀/귀중하다/중요/막중하다/소중하다,있음,중요,WORD1193,,,
화나다/노여움/노엽다/노하다/성나다/성내다/화내다,있음,화나다,WORD1236,,,
